title,description
Advanced Life Support (ALS) First Responder Service Operating Certificate,"If you give advanced life support care, you need an operating certificate. This certificate is from the New York State Department of Health (NYSDOH). It does not let you move patients."
Ambulance Service Operating Certificate,"If you run an ambulance business, you must register with the New York State Department of Health (NYSDOH)."
Apparel Industry Certificate of Registration,Businesses that make clothes must register every year with the New York State Department of Labor (NYSDOL). This includes:
Asbestos Handler Certification,"An asbestos handler is someone who is paid to remove, repair or enclose materials that have asbestos. To do this job, you need special training from a center approved by the New York State Department of Health (NYSDOH). You also need certification from the New York State Department of Labor (NYSDOL) and the New York City Department of Environmental Protection (DEP)."
Asbestos Handler Supervisor Certification,"An asbestos handler supervisor leads the removal, repair or enclosure of materials with asbestos. To become one, you need special training from a New York State Department of Health (NYSDOH) approved center. You also need certification from the New York State Department of Labor (NYSDOL) and the New York City Department of Environmental Protection (DEP)."
Asbestos Investigator Certification,"An asbestos investigator checks buildings for asbestos-containing materials (ACM) and conducts hazard assessments for ACM. To do this job, you need a special certificate and experience or technical training."
"Assumed Name, Certificate of","If your business uses a name that is not its legal name, you need a Certificate of Assumed Name. This certificate is also called a ""doing business as"" (DBA) certificate. You must file this certificate with the New York State Department of State (NYSDOS)."
"ATV Dealer, Official Business Certificate","If you buy, sell or trade all-terrain vehicles (ATVs), you need to register with the New York State (NYS) Department of Motor Vehicles (DMV)."
Backflow Prevention Device Tester Certification,People who test backflow prevention devices need training and certification from the New York State Department of Health (NYSDOH).
Bank Holding Company Registration Certificate,"If you have a bank holding company in New York State, you must register with the New York State (NYS) Department of Financial Services (DFS)."
"Banking/Trust Company Charter, Authorization Certificate","To start a bank or trust in New York State, you need a charter from the New York State Department of Financial Services (DFS). The charter allows your company to do business."
Bedding (Used) Retailer / Wholesaler,"If your business sell used mattresses, you need a license from the New York State Department of State (NYSDOS)."
Bedding Manufacturer (New Bedding),"If your business manufactures bedding, you need a license from the New York State Department of State (NYSDOS)."
"Bedding Manufacturer, Repairer-Renovator, or Rebuilder (Used Bedding)","If your business fixes or renovates used bedding, you must register with the New York State Department of State (NYSDOS)."
"Boat Dealer, Official Business Certificate","If you buy or sell motor boats, you must register with the New York State Department of Motor Vehicles (DMV)."
"Bottled Water Facility, Certificate of Approval to Operate a","If your business bottles water, you need a special certificate from the New York State Department of Health (NYSDOH)."
"Bulk Water Facility, Certificate of Approval to Operate a","If your business sells water in bulk for human consumption, you need a certificate from the New York State Department of Health (NYSDOH)."
Business Certificate for Sole Proprietorships and General Partnerships,"If your business uses a name other than its legal name, you need a Certificate of Assumed Name from your county clerk. This certificate is also called a business certificate."
Certificate of Approval,City Fire Department
Certificate of Fitness Emergency One-Way Voice Announcement Personnel (F-53),The City Fire Department has rules for all one-way emergency voice services. Only the FDNY or building workers with an F-53 Certificate of Fitness can use these services.
Certificate of Fitness for Citywide Fire Guard For Impairment (F-01),"If a required fire protection system is not working in a building, a fire watch is needed. A person with a Certificate of Fitness must do the fire watch."
Certificate of Fitness for Citywide Sprinkler Systems (S-12),"If you inspect, test and maintain sprinkler systems in New York City, you need a Certificate of Fitness."
Certificate of Fitness for Citywide Standpipe Systems (S-13),"The City Fire Department needs anyone who inspects, tests and maintains standpipe systems in New York City to have an S-13 or S-14 Certificate of Fitness."
Certificate of Fitness for Cleaning and Testing of Smoke Detectors (F-78 / S-78),"If you test and clean smoke detectors in New York City, you need a Certificate of Fitness for Cleaning and Testing of Smoke Detectors (F-78/S-78)."
Certificate of Fitness for Commercial Cooking Exhaust System Cleaning Technician (W-64),The New York City Fire Department (FDNY) says that commercial cooking exhaust systems must be cleaned by someone with a Certificate of Fitness (W-64/P-64). This person must work for an FDNY-approved company.
Certificate of Fitness for Coordinator of Fire Safety and Alarm Systems in Homeless Shelters (F-80),"The City Fire Department says all homeless shelters need a person with a Certificate of Fitness for Coordinator of Fire Safety and Alarm Systems in Homeless Shelters (F-80). This certificate is also needed in any building or occupancy that must have a one-way voice communication system. This applies if the building is used by more than 15 people for more than 30 days, including emergency shelters."
"Certificate of Fitness for Fire Alarm Systems Inspection, Testing and Service Principal (S-97)","A principal of a company that installs, inspects, tests and services fire alarm systems in New York City needs a Certificate of Fitness for Fire Alarm Systems Inspection, Testing and Service Principal (S-97). You must know the manufacturer's recommendations for different fire alarm systems."
"Certificate of Fitness for Fire Alarm Systems Inspection, Testing and Service Technician (S-98)","A technician who installs, inspects, tests and services fire alarm systems in New York City needs a Certificate of Fitness for Fire Alarm Systems Inspection, Testing and Service Technician (S-98)."
Certificate of Fitness for Fire and Emergency Drill Conductor (F-07),The City Fire Department offers a Certificate of Fitness for Fire and Emergency Drill Conductor.
Certificate of Fitness for Fire and Emergency Drill Conductor for NYC K-12 Schools (D-10),Principals and assistant principals who lead fire drills in New York City K-12 schools must have a Certificate of Fitness for Fire and Emergency Drill Conductor (D-10).
Certificate of Fitness for Fire Guard for Shelters (F-02),You need a Certificate of Fitness to be a Fire Guard in shelters if there is no sprinkler system or if the fire protection system is not working.
Certificate of Fitness for Fire Guard for Torch Operations (F-60),A Certificate of Fitness holder must be present to watch for fires during hot work operations.
Certificate of Fitness for Fire Life and Safety Director (F89/T89),"A Fire and Life Safety (FLS) Director is needed in some buildings, including high-rise office buildings, hotels and buildings with special fire alarm systems. These buildings need a Comprehensive Fire Safety and Emergency Action Plan or are buildings that previously required Fire Safety Directors."
Certificate of Fitness for Flame Retardant Treatment (C-15),"The New York City Fire Department (FDNY) says that some places need flame-resistant decorations. These places include Groups A, E, I and M occupancies; Group R-1 college and university dorms; common areas in Groups B, R-1 and R-2 occupancies; and any building or place used for public gatherings."
Certificate of Fitness for Handling and Dispensing Flammable or Combustible Liquids in Portable Containers (S-94),You need a Certificate of Fitness to handle and dispense flammable or combustible liquids in portable containers. These liquids include motor fuels like gasoline and diesel fuel.
"Certificate of Fitness for Handling, Use and Storage of Flammable Compressed Gases (G-98)","You need a Certificate of Fitness to handle, use and store compressed flammable gases. This certificate is only valid for the person and location it is issued to."
Certificate of Fitness for Indoor Place of Assembly Safety Personnel (F-03),You need a Certificate of Fitness to help support fire safety at a place of assembly (PA) or temporary place of assembly (TPA). This certificate is for a specific person and location.
Certificate of Fitness for Low Pressure Oil Burner Operator (P-99),You need a Certificate of Fitness (CoF) to supervise an oil burner that is not fully automatic or needs preheating. The certificate holder must be in the building when the burner is on.
Certificate of Fitness for Non-Production Chemical Laboratories (C-14),"You need a permit to store, handle or use dangerous materials in a lab if you have more than 1 gallon (3.8L) of flammable liquid, more than 1 gallon (3.8L) of combustible liquid and more than 75 SCF (2.12 m3) of flammable gas."
Certificate of Fitness for Operation of Petroleum Pipeline (P-23),You need a Certificate of Fitness to operate petroleum pipelines. This certificate is only for the person it is given to. You can use it anywhere in New York City.
Certificate of Fitness for Operator of Central Station Signaling Systems (F-40),"If you work in a central station that reports fires in New York City, you need a Certificate of Fitness for Operator of Central Station Signaling Systems (F-40)."
Certificate of Fitness for Powder Actuated Tools (E-21),"You need a Certificate of Fitness to use powder actuated tools. These tools can be dangerous, so you must create a safe zone behind the work area."
Certificate of Fitness for Residential Sprinkler Systems (S-11),"You need a Certificate of Fitness from the City Fire Department. This is for people who inspect, test and maintain sprinkler systems in residential buildings or structures classified as R-2 occupancies. It is for buildings up to six stories high. These buildings can have up to 30 sprinkler heads or a compactor sprinkler system."
"Certificate of Fitness for Safe Use, Handling, Storage and Compression of Flammable Gases with Pressure Above 6 PSI (G-29)","You need a Certificate of Fitness to use, handle, store and compress flammable gases with pressure above 6 psi. This certificate is only for the person it is given to. It can be used anywhere in New York City."
Certificate of Fitness for Special Effects (E-series),"The City Fire Department offers a Certificate of Fitness for Special Effects (E-series). This includes E-01, E-02, E-03, E-04, E-05 and E-06."
Certificate of Fitness for Standpipe for Multi-Zone Systems (S-14),Buildings with multi-zone standpipe systems must be under the supervision of a person with an S-14 Certificate of Fitness. This certificate is only valid at one location and for the person who gets it.
Certificate of Fitness for Storage and Handling of Corrosives and Oxidizers (C-42),You need a Certificate of Fitness to store and handle corrosives and oxidizers. This certificate is for a specific location and person.
Certificate of Fitness for Storage and Handling of LPG or CNG (G-44),"You need a Certificate of Fitness to store or handle liquefied petroleum gas (LPG) or compressed natural gas (CNG). These gases are extremely flammable, so safety is critical."
"Certificate of Fitness for Storage, Handling and Use of Hazardous Materials (C-91)","You need a Certificate of Fitness to store, handle and use hazardous materials."
Certificate of Fitness for Supervising Dry Cleaning Facilities (C-93),You need a Certificate of Fitness to supervise dry cleaning facilities that use Class II or III solvents. The certificate is for a specific location and person.
"Certificate of Fitness for Supervising, Storage, Handling and Use of Flammable or Combustible Liquids (C-92)","You need a Certificate of Fitness to store, handle and use flammable or combustible liquids. This is required if you have a New York City Fire Department (FDNY) permit."
Certificate of Fitness for Supervision of Aerosol (W-49),You need a Certificate of Fitness if you have 100 pounds or more of aerosols. Aerosols are things like:
Certificate of Fitness for Supervision of Fire Alarm Systems and Other Related Systems (S-95),Every building with a fire alarm system needs someone physically present with an S-95 Certificate of Fitness for supervision of fire alarm systems and other related systems.
Certificate of Fitness for Supervision of Flammable and Combustible Finishing Operations (C-30),The City Fire Department offers a Certificate of Fitness to supervise flammable and combustible finishing operations:
Certificate of Fitness for Supervision of Piped Non-Flammable Medical Gases (G-71),You need a Certificate of Fitness to supervise piped non-flammable medical gases. You must handle and store these gases safely. These gases include:
Certificate of Fitness for Supervision of Portable Fueled Space Heaters at Construction Sites (S-92),You need a Certificate of Fitness to supervise portable fueled space heaters at construction sites. These heaters give temporary heat to buildings during construction.
Certificate of Fitness for Supervision of Sanitary Landfill Methane Recovery Facilities (L-19),The City Fire Department offers a Certificate of Fitness to supervise sanitary landfill methane recovery facilities:
"Certificate of Fitness for Supervision of Storage, Handling and Use of Commercial Cryogenic Systems (G-79)","You need a Certificate of Fitness to supervise the storage, handling and use of commercial cryogenic systems and liquids. You must be on-site at all times during operation if you have this certificate."
Certificate of Fitness for Temporary Indoor / Outdoor Place of Assembly Safety Personnel (F-04),You need a Certificate of Fitness to help keep fire safety at temporary events. This certificate is valid only for the person it is issued to and can be used anywhere in New York City.
"Certificate of Fitness for the Storage, Handling, Use and Refilling of Non-Flammable Gas Cylinders (G-46)","You need a Certificate of Fitness to store, handle, use or refill non-flammable gas cylinders. These cylinders are often used in health care places. Non-flammable gases include:"
Certificate of Fitness for the Supervision and Maintenance of a CNG Facility (C-99),"The City Fire Department offers a Certificate of Fitness for dispensing, supervising and maintaining a compressed natural gas (CNG) facility:"
Certificate of Fitness for the Supervision of Bulk Oil Storage Facility (P-13),You need a Certificate of Fitness to supervise a bulk oil storage facility. A certificate holder must be there when the plant is running.
Certificate of Fitness for the Supervision of Liquefied Natural Gas (LNG) Plants (C-10),The City Fire Department offers a Certificate of Fitness for the supervision of liquified natural gas (LNG) plants:
Certificate of Fitness for the Use of LPG / CNG at Outdoors Events and for Mobile Cooking (G-23),City Fire Department
Certificate of Fitness for the Use of LPG / CNG in Emergency Indoor Repairs (G-24),The City Fire Department offers a Certificate of Fitness to handle liquefied petroleum gas (LPG) or compressed natural gas (CNG):
Certificate of Fitness for Torch Use in Manufacture of Jewelry and Dental Lab Operation (G-61),You need a Certificate of Fitness to use an oxygen-fuel torch or any flammable gas torch in making jewelry and for dental lab work. You must control the pressure and flow of oxygen and natural gas to each torch.
Certificate of Fitness for Torch Use of Flammable Gases (G-60),The City Fire Department needs you to have a Certificate of Fitness to use a torch with oxygen and a flammable gas. This includes using a torch for torch-applied roofing systems.
"Certificate of Fitness for Use and Handling of LPG / CNG for Tar Kettles, Asphalt Melters and Marking Street Lines (G-40)",The City Fire Department offers a Certificate of Fitness to use and handle liquefied petroleum gas (LPG) or compressed natural gas (CNG):
Certificate of Fitness for Use of LPG or CNG in Engine Fuel Systems (G-22),City Fire Department
Certificate of Fitness to Operate and Maintain Air Compressors (A-35),The City Fire Department offers a Certificate of Fitness to operate and maintain air compressors:
Certificate of Fitness to Supervise Crane Aerial Fueling Operations at Construction Sites (P-54),You need a Certificate of Fitness to supervise aerial crane fueling at construction sites and other locations. This includes using diesel fuel or other flammable liquids.
Certificate of Fitness to Supervise Temporary Storage & Dispensing Flammable/Combustible Liquids at Movie/TV Prod.Sites (S-91),You need a Certificate of Fitness to supervise the temporary storage and dispensing of flammable or combustible liquids at movie and TV production sites.
Certificate of Fitness to Supervise the Handling and Use of Chemicals in NYC K-12 School Laboratories (D-14),All teachers who use labs in NYC K-12 schools need a Certificate of Fitness. This certificate is for handling and using chemicals. The certificate is valid only at a specific location and for the person it is issued to.
Certificate of Fitness to Supervise the Storage and Handling of Chemicals in NYC K-12 School Laboratories (D-15),All lab workers who store and handle chemicals in NYC K-12 schools need a Certificate of Fitness (D-15). This certificate is valid only at a specific location and for the person it is issued to.
"Certificate of Incorporation for Corporations, Professional Service Corporations, and Not-for-Profit Corporations",All corporations in New York State must file a Certificate of Incorporation with the New York State Department of State (NYSDOS).
Certificate of Occupancy,A Certificate of Occupancy (CO) tells you how you can legally use a building.
Certificate of Qualification for Refrigerating System Operating Engineer (Q-01),"If a refrigerating system needs a permit from the New York City Fire Department (FDNY), you need a Certificate of Qualification (Q01) to watch the system while it is running. This certificate is specific to the location."
Certificate of Registration for Expeditor (Filing Processor) Employee (R-02),City Fire Department
Certificate of Registration for Expeditor (Filing Processor) Principal (R-01),The New York City Fire Department (FDNY) requires a Certificate of Registration for Expeditor (Filing Processor) Principal (R-01) .
